Latitude;Longitude;OBJECTID;PONTO_RECOLHA_FREGUESIA;PONTO_RECOLHA_LOCAL;CONTENTOR_RESÍDUO;CONTENTOR_TIPO;CONTENTOR_CAPACIDADE;CONTENTOR_QT;CONTENTOR_TOTAL_LITROS
-9.1420101;38.70728832;334;Misericórdia;15893: Lg Corpo Santo (Ambos (13->)(10->28): R Arsenal - Cc do Ferragial);Lixos;CV0140;90;1;90
-9.1420101;38.70728832;335;Misericórdia;15893: Lg Corpo Santo (Ambos (13->)(10->28): R Arsenal - Cc do Ferragial);Lixos;CV0090;140;4;560
-9.149863686;38.70903075;345;Misericórdia;15896: Bc Francisco André (Ambos (3->)(->): R da Boavista - R da Boavista);Lixos;CV0240;140;1;140
-9.14534815;38.7075837;346;Misericórdia;15897: Tv de São Paulo (Ambos (->)(->): Pc São Paulo - R Ribeira Nova);Lixos;CV0120;140;2;280
-9.14534815;38.7075837;347;Misericórdia;15897: Tv de São Paulo (Ambos (->)(->): Pc São Paulo - R Ribeira Nova);Lixos;CV0140;240;1;240
-9.14534815;38.7075837;348;Misericórdia;15897: Tv de São Paulo (Ambos (->)(->): Pc São Paulo - R Ribeira Nova);Lixos;CV0120;140;2;280
-9.14534815;38.7075837;349;Misericórdia;15897: Tv de São Paulo (Ambos (->)(->): Pc São Paulo - R Ribeira Nova);Lixos;CV0090;240;1;240
-9.14534815;38.7075837;350;Misericórdia;15897: Tv de São Paulo (Ambos (->)(->): Pc São Paulo - R Ribeira Nova);Papel e Cartão;CV0140;140;1;140
-9.1443768;38.70636706;351;Misericórdia;15898: Av 24 de Julho (Impar (1->)(->): Pc Duque da Terceira - Tv dos Remolares);Lixos;CV0240;90;1;90
-9.1443768;38.70636706;352;Misericórdia;15898: Av 24 de Julho (Impar (1->)(->): Pc Duque da Terceira - Tv dos Remolares);Lixos;CV0120;240;1;240
-9.1443768;38.70636706;353;Misericórdia;15898: Av 24 de Julho (Impar (1->)(->): Pc Duque da Terceira - Tv dos Remolares);Lixos;CV0090;140;1;140
-9.144734149;38.70643602;354;Misericórdia;15899: Av 24 de Julho (Par (->)(2->): Tv dos Remolares - Pc Ribeira Nova);Lixos;CV0120;140;1;140
-9.14751691;38.714609;43;Misericórdia;19365: R O Século, 150;Papel e Cartão;CV0140;240;2;480
-9.14751691;38.714609;42;Misericórdia;19365: R O Século, 150;Vidro;CV0240;240;1;240
-9.14751691;38.714609;41;Misericórdia;19365: R O Século, 150;Embalagens;CV0240;240;2;480
-9.14751691;38.714609;40;Misericórdia;19365: R O Século, 150;Lixos;CV0120;240;4;960
-9.14751691;38.714609;39;Misericórdia;19365: R O Século, 150;Lixos;CV0090;240;4;960
-9.151863405;38.71545391;133;Misericórdia;19216: R Marcos Portugal, Muro do Lg Agostinho da Silva;Papel e Cartão;CV0140;240;1;240
-9.151863405;38.71545391;134;Misericórdia;19216: R Marcos Portugal, Muro do Lg Agostinho da Silva;Papel e Cartão;CV0240;240;1;240
-9.151863405;38.71545391;135;Misericórdia;19216: R Marcos Portugal, Muro do Lg Agostinho da Silva;Embalagens;CV0240;240;1;240
-9.151863405;38.71545391;136;Misericórdia;19216: R Marcos Portugal, Muro do Lg Agostinho da Silva;Lixos;CV0240;240;1;240
