Latitude;Longitude;OBJECTID;PONTO_RECOLHA_FREGUESIA;PONTO_RECOLHA_LOCAL;CONTENTOR_RESÍDUO;CONTENTOR_TIPO;CONTENTOR_CAPACIDADE;CONTENTOR_QT;CONTENTOR_TOTAL_LITROS
-9,146958664;38,70847051;558;Misericórdia;15864: R São Paulo (Ambos (91->129)(228->260): R Moeda - R da Boavista);Lixos;CV0120;120;1;120
-9,146958664;38,70847051;559;Misericórdia;15864: R São Paulo (Ambos (91->129)(228->260): R Moeda - R da Boavista);Lixos;CV0240;240;4;960
-9,146958664;38,70847051;560;Misericórdia;15864: R São Paulo (Ambos (91->129)(228->260): R Moeda - R da Boavista);Lixos;CV0140;140;4;560
-9,146958664;38,70847051;561;Misericórdia;15864: R São Paulo (Ambos (91->129)(228->260): R Moeda - R da Boavista);Lixos;CV0090;90;1;90
-9,146958664;38,70847051;562;Misericórdia;15864: R São Paulo (Ambos (91->129)(228->260): R Moeda - R da Boavista);Lixos;CV0120;120;1;120
-9,144288217;38,70742174;565;Misericórdia;15865: R Nova do Carvalho (Ambos (63->81)(58->78): Pc São Paulo - Tv dos Remolares);Lixos;CV0120;120;1;120
-9,144288217;38,70742174;566;Misericórdia;15865: R Nova do Carvalho (Ambos (63->81)(58->78): Pc São Paulo - Tv dos Remolares);Lixos;CV0140;140;2;280
-9,144288217;38,70742174;567;Misericórdia;15865: R Nova do Carvalho (Ambos (63->81)(58->78): Pc São Paulo - Tv dos Remolares);Lixos;CV0240;240;4;960
-9,144288217;38,70742174;568;Misericórdia;15865: R Nova do Carvalho (Ambos (63->81)(58->78): Pc São Paulo - Tv dos Remolares);Lixos;CV0120;120;1;120
-9,144288217;38,70742174;569;Misericórdia;15865: R Nova do Carvalho (Ambos (63->81)(58->78): Pc São Paulo - Tv dos Remolares);Lixos;CV0140;140;2;280
-9,144288217;38,70742174;570;Misericórdia;15865: R Nova do Carvalho (Ambos (63->81)(58->78): Pc São Paulo - Tv dos Remolares);Lixos;CV0240;240;4;960
-9,144288217;38,70742174;571;Misericórdia;15865: R Nova do Carvalho (Ambos (63->81)(58->78): Pc São Paulo - Tv dos Remolares);Papel e Cartão;CV0140;140;1;140
-9,144288217;38,70742174;572;Misericórdia;15865: R Nova do Carvalho (Ambos (63->81)(58->78): Pc São Paulo - Tv dos Remolares);Papel e Cartão;CV0240;240;1;240
-9,143814518;38,7072547;573;Misericórdia;15866: R Nova do Carvalho (Ambos (33->55)(26->56): Tv dos Remolares - R do Alecrim);Lixos;CV0140;140;1;140
